"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
624 0.695203621365999 6 11 "GO:0000463" "maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 0.924271760205214
2450 0.0160153887211494 4 27 "GO:0000466" "maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 0.246057129116023
2763 0.00311665679002327 -1 32 "GO:0000469" "obsolete cleavage involved in rRNA processing" 0.123789711878737
1267 0.18941328310394 2 30 "GO:0000470" "maturation of LSU-rRNA" 0.637411103842867
2465 0.253107678001322 5 6 "GO:0000472;GO:0000967" "rRNA 5'-end processing" 0.696621543452346
2959 0.0103154726635335 -1 21 "GO:0000478;GO:0000479" "obsolete endonucleolytic cleavage involved in rRNA processing" 0.210336349016327
2252 0.201094748783776 2 9 "GO:0000480" "endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 0.648983730099482
632 0.666114061512134 3 13 "GO:0000491;GO:0000492" "small nucleolar ribonucleoprotein complex assembly" 0.914815195384694
473 0.788489172738465 5 9 "GO:0000706" "meiotic DNA double-strand break processing" 0.949638550054956
1468 0.356721796234156 2 11 "GO:0000707" "meiotic DNA recombinase assembly" 0.777244276422638
4701 0.0466442944365538 2 5 "GO:0000710" "meiotic mismatch repair" 0.395584623781478
5502 0.0107492095246014 6 6 "GO:0000711" "meiotic DNA repair synthesis" 0.212282212363044
1516 0.188832372685724 2 21 "GO:0000712" "resolution of meiotic recombination intermediates" 0.636902111499925
860 0.329377922689982 2 36 "GO:0000715" "nucleotide-excision repair, DNA damage recognition" 0.757489758273161
4401 1.52025328417222e-05 2 27 "GO:0000722" "telomere maintenance via recombination" 0.00386448384836578
806 0.0586577656739366 3 155 "GO:0000723;GO:0032200" "telomere organization" 0.428593378422844
368 0.41125458213562 4 140 "GO:0000724;GO:0000725" "double-strand break repair via homologous recombination" 0.809494740771152
1370 0.0112521571850406 -1 96 "GO:0000726;GO:0006303" "obsolete non-recombinational repair" 0.216112249355053
-1190 0.524087405145823 8 8 "GO:0000727" "double-strand break repair via break-induced replication" 0.862703735065543
310 0.721064512581194 3 37 "GO:0000729" "DNA double-strand break processing" 0.932464864980253
1367 0.316425727985857 7 15 "GO:0000730;GO:0090735;GO:0042148" "DNA recombinase assembly" 0.745210743188732
-47 0.93838447420673 2 76 "GO:0000731;GO:0006301;GO:0019985" "DNA synthesis involved in DNA repair" 0.987039742981543
771 0.535911603903674 -1 18 "GO:0000733" "obsolete DNA strand renaturation" 0.869851994700483
140 0.835053283483274 -1 62 "GO:0000737;GO:0006308" "DNA catabolic process" 0.959131345458912
3239 0.170412389788156 -1 5 "GO:0000738" "obsolete DNA catabolic process, exonucleolytic" 0.618868032110219
1633 0.265166802079504 2 13 "GO:0000741;GO:0007344" "karyogamy" 0.704508110112071
-1062 0.569871554781656 3 8 "GO:0000746;GO:0000747" "conjugation with cellular fusion" 0.881837838018078
-913 0.00746005765877913 2 243 "GO:0000768;GO:0006949;GO:0140253;GO:0007520;GO:0014902" "myotube differentiation" 0.184777289535876
1021 0.469544539975425 5 14 "GO:0000821" "regulation of arginine metabolic process" 0.838697780289226
-65 0.596885081538739 -1 2074 "GO:0000904;GO:0048812;GO:0120039;GO:0048858;GO:0032990;GO:0048667" "obsolete cell morphogenesis involved in differentiation" 0.891295404702256
-105 0.900880059022445 4 39 "GO:0000912;GO:0000915" "assembly of actomyosin apparatus involved in cytokinesis" 0.976814219924926
-382 0.765953881847983 4 17 "GO:0000916;GO:0036213" "contractile ring contraction" 0.94282604403951
1419 0.548218346668663 3 5 "GO:0000917;GO:0090529" "cell septum assembly" 0.8738185349505
-160 0.90659950919677 2 15 "GO:0000920" "septum digestion after cytokinesis" 0.979697868376728
-228 0.467474763874695 2 289 "GO:0000956;GO:0006402" "mRNA catabolic process" 0.836699729960749
515 0.466409160806214 3 56 "GO:0000959" "mitochondrial RNA metabolic process" 0.836699729960749
582 0.553219538443806 4 29 "GO:0000963" "mitochondrial RNA processing" 0.875081039224094
-601 0.780665092189097 2 6 "GO:0000964;GO:0097745" "mitochondrial RNA 5'-end processing" 0.946468593746318
-716 0.719814290288523 2 7 "GO:0000965" "mitochondrial RNA 3'-end processing" 0.93184802846876
536 0.361891859776554 3 81 "GO:0000966" "RNA 5'-end processing" 0.780262177737066
-596 0.673189120761677 2 14 "GO:0000972" "transcription-dependent tethering of RNA polymerase II gene DNA at nuclear periphery" 0.915992505627456
-206 0.332536878419872 3 641 "GO:0001101" "response to acid chemical" 0.76025810112617
1030 0.466007728254025 5 14 "GO:0001109;GO:0001111" "promoter clearance during DNA-templated transcription" 0.836699729960749
